updatedate,ziptext,case_count,population,new_cases,days_past
2020-03-30,91902.0,8.0,17653,8.0,343
2020-03-30,92113.0,19.0,56066,19.0,343
2020-03-30,92111.0,8.0,45096,8.0,343
2020-03-30,92110.0,13.0,25341,13.0,343
2020-03-30,92109.0,20.0,45787,20.0,343
2020-03-30,92108.0,13.0,18858,13.0,343
2020-03-30,92107.0,3.0,28651,3.0,343
2020-03-30,92106.0,6.0,19330,6.0,343
2020-03-30,92114.0,12.0,65433,12.0,343
2020-03-30,92105.0,22.0,69813,22.0,343
2020-03-30,92103.0,58.0,31066,58.0,343
2020-03-30,92102.0,10.0,43267,10.0,343
2020-03-30,92101.0,27.0,37095,27.0,343
2020-03-30,92093.0,1.0,8392,1.0,343
2020-03-30,92091.0,1.0,1048,1.0,343
2020-03-30,92084.0,8.0,47654,8.0,343
2020-03-30,92083.0,1.0,36975,1.0,343
2020-03-30,92104.0,23.0,44414,23.0,343
2020-03-30,92081.0,5.0,27404,5.0,343
2020-03-30,92116.0,27.0,31680,27.0,343
2020-03-30,92118.0,2.0,23575,2.0,343
2020-03-30,92173.0,5.0,29429,5.0,343
2020-03-30,92154.0,20.0,79708,20.0,343
2020-03-30,92145.0,2.0,1449,2.0,343
2020-03-30,92139.0,13.0,35125,13.0,343
2020-03-30,92131.0,4.0,32787,4.0,343
2020-03-30,92130.0,20.0,48940,20.0,343
2020-03-30,92129.0,12.0,51536,12.0,343
2020-03-30,92117.0,11.0,51332,11.0,343
2020-03-30,92128.0,17.0,47490,17.0,343
2020-03-30,92126.0,15.0,73343,15.0,343
2020-03-30,92124.0,6.0,30443,6.0,343
2020-03-30,92123.0,14.0,26823,14.0,343
2020-03-30,92122.0,9.0,43728,9.0,343
2020-03-30,92121.0,3.0,4179,3.0,343
2020-03-30,92120.0,9.0,26317,9.0,343
2020-03-30,92119.0,4.0,23057,4.0,343
2020-03-30,92127.0,13.0,39337,13.0,343
2020-03-30,92078.0,6.0,42906,6.0,343
2020-03-30,92115.0,14.0,58560,14.0,343
2020-03-30,92071.0,5.0,53422,5.0,343
2020-03-30,92014.0,8.0,13154,8.0,343
2020-03-30,92011.0,6.0,22405,6.0,343
2020-03-30,92010.0,6.0,14382,6.0,343
2020-03-30,92009.0,12.0,40747,12.0,343
2020-03-30,92008.0,7.0,27649,7.0,343
2020-03-30,92007.0,4.0,10429,4.0,343
2020-03-30,91977.0,16.0,58368,16.0,343
2020-03-30,91950.0,10.0,60322,10.0,343
2020-03-30,91945.0,5.0,25460,5.0,343
2020-03-30,91942.0,8.0,38069,8.0,343
2020-03-30,91941.0,4.0,31779,4.0,343
2020-03-30,91915.0,4.0,24659,4.0,343
2020-03-30,91914.0,2.0,15448,2.0,343
2020-03-30,91913.0,14.0,40971,14.0,343
2020-03-30,91911.0,13.0,82999,13.0,343
2020-03-30,91910.0,17.0,75802,17.0,343
2020-03-30,92075.0,2.0,12056,2.0,343
2020-03-30,92019.0,16.0,42598,16.0,343
2020-03-30,92020.0,22.0,57767,22.0,343
2020-03-30,91978.0,2.0,8896,2.0,343
2020-03-30,92021.0,16.0,65068,16.0,343
2020-03-30,92067.0,11.0,9535,11.0,343
2020-03-30,92065.0,4.0,35414,4.0,343
2020-03-30,92064.0,9.0,47904,9.0,343
2020-03-30,92061.0,1.0,2499,1.0,343
2020-03-30,92058.0,3.0,42436,3.0,343
2020-03-30,92057.0,5.0,54096,5.0,343
2020-03-30,92056.0,7.0,51835,7.0,343
